an,M,chinese
ang,M,chinese
ao,M,chinese
au,M,chinese
au yeung,M,chinese
ba,M,chinese
bai,M,chinese
ban,M,chinese
bao,M,chinese
bau,M,chinese
bi,M,chinese
bo,M,chinese
bu,M,chinese
cai,M,chinese
cao,M,chinese
cha,M,chinese
chai,M,chinese
cham,M,chinese
chan,M,chinese
chang,M,chinese
chao,M,chinese
chau,M,chinese
che,M,chinese
cheah,M,chinese
chee,M,chinese
chen,M,chinese
cheng,M,chinese
cheong,M,chinese
chern,M,chinese
cheung,M,chinese
chew,M,chinese
chi,M,chinese
chia,M,chinese
chiang,M,chinese
chiao,M,chinese
chien,M,chinese
chim,M,chinese
chin,M,chinese
ching,M,chinese
chiong,M,chinese
chiou,M,chinese
chiu,M,chinese
cho,M,chinese
choi,M,chinese
chong,M,chinese
choo,M,chinese
chou,M,chinese
chow,M,chinese
choy,M,chinese
chu,M,chinese
chua,M,chinese
chuang,M,chinese
chui,M,chinese
chun,M,chinese
chung,M,chinese
cong,M,chinese
cui,M,chinese
dai,M,chinese
dang,M,chinese
dea,M,chinese
deng,M,chinese
ding,M,chinese
do,M,chinese
dong,M,chinese
doo,M,chinese
du,M,chinese
duan,M,chinese
dung,M,chinese
eng,M,chinese
fan,M,chinese
fang,M,chinese
fei,M,chinese
feng,M,chinese
fok,M,chinese
fong,M,chinese
foo,M,chinese
fu,M,chinese
fung,M,chinese
gan,M,chinese
gang,M,chinese
gao,M,chinese
gau,M,chinese
ge,M,chinese
geng,M,chinese
go,M,chinese
goh,M,chinese
gong,M,chinese
gu,M,chinese
guan,M,chinese
guo,M,chinese
ha,M,chinese
hai,M,chinese
han,M,chinese
hang,M,chinese
hao,M,chinese
hau,M,chinese
he,M,chinese
ho,M,chinese
hoh,M,chinese
hom,M,chinese
hon,M,chinese
hong,M,chinese
hoo,M,chinese
hou,M,chinese
hsi,M,chinese
hsia,M,chinese
hsiao,M,chinese
hsieh,M,chinese
hsiung,M,chinese
hsu,M,chinese
hsueh,M,chinese
hu,M,chinese
hua,M,chinese
huang,M,chinese
hui,M,chinese
huie,M,chinese
hum,M,chinese
hung,M,chinese
huo,M,chinese
hwang,M,chinese
hy,M,chinese
ing,M,chinese
ip,M,chinese
jan,M,chinese
jang,M,chinese
jen,M,chinese
jeng,M,chinese
jeung,M,chinese
jew,M,chinese
jia,M,chinese
jian,M,chinese
jiang,M,chinese
jiao,M,chinese
