"id","season","positioning","reflexes","diving","standing_tackle","physical","passing","dribbling","long_shot","finishing","player_id"
1,"2022",0,0,0,77,77,72,74,70,80,30
2,"2022",0,0,0,72,73,74,76,73,76,29
3,"2022",0,0,0,80,76,77,71,78,77,28
4,"2022",0,0,0,75,71,75,74,75,77,27
5,"2022",0,0,0,74,74,72,78,79,72,26
6,"2022",0,0,0,75,77,79,71,75,74,25
7,"2022",0,0,0,72,74,77,71,72,78,24
8,"2022",0,0,0,75,77,73,79,74,78,23
9,"2022",0,0,0,71,75,76,73,73,71,22
10,"2022",0,0,0,78,76,77,77,74,75,21
11,"2022",0,0,0,71,70,72,77,75,72,20
12,"2022",0,0,0,79,70,70,76,80,74,19
13,"2022",0,0,0,77,77,73,78,73,75,18
14,"2022",0,0,0,77,74,71,76,74,76,17
15,"2022",0,0,0,79,72,78,80,71,78,16
16,"2022",0,0,0,75,80,80,74,76,75,15
17,"2022",0,0,0,70,78,75,71,77,73,14
18,"2022",0,0,0,76,79,75,78,75,73,13
19,"2022",0,0,0,71,74,74,74,71,79,12
20,"2022",0,0,0,79,71,74,70,76,78,11
21,"2022",0,0,0,70,80,72,73,70,75,10
22,"2022",0,0,0,77,77,76,78,73,80,9
23,"2022",0,0,0,71,80,70,74,75,72,8
24,"2022",0,0,0,79,77,78,71,73,71,7
25,"2022",0,0,0,78,72,77,73,74,75,6
26,"2022",0,0,0,74,73,79,72,77,73,5
27,"2022",0,0,0,72,74,72,71,80,76,4
28,"2022",73,73,73,0,0,0,0,0,0,3
29,"2022",73,72,77,0,0,0,0,0,0,2
30,"2022",79,77,72,0,0,0,0,0,0,1
31,"2022",0,0,0,87,90,90,80,86,90,60
32,"2022",0,0,0,85,90,83,83,90,86,59
33,"2022",0,0,0,85,83,84,87,84,83,58
34,"2022",0,0,0,88,90,82,81,83,90,57
35,"2022",0,0,0,90,83,90,90,81,89,56
36,"2022",0,0,0,81,82,82,83,80,84,55
37,"2022",0,0,0,81,90,81,90,85,80,54
38,"2022",0,0,0,90,86,87,84,82,84,53
39,"2022",0,0,0,86,81,88,90,80,88,52
40,"2022",0,0,0,86,89,84,88,86,88,51
41,"2022",0,0,0,83,81,90,89,80,88,50
42,"2022",0,0,0,80,81,86,82,88,88,49
43,"2022",0,0,0,87,81,82,90,87,90,48
44,"2022",0,0,0,81,86,81,86,84,87,47
45,"2022",0,0,0,84,90,83,87,86,81,46
46,"2022",0,0,0,83,82,90,81,88,87,45
47,"2022",0,0,0,88,87,80,90,89,90,44
48,"2022",0,0,0,90,84,87,83,90,81,43
49,"2022",0,0,0,87,88,88,85,89,85,42
50,"2022",0,0,0,86,86,85,81,87,82,41
51,"2022",0,0,0,85,89,83,80,87,88,40
52,"2022",0,0,0,82,80,85,81,81,86,39
53,"2022",0,0,0,87,89,80,88,88,85,38
54,"2022",0,0,0,87,87,82,87,89,82,37
55,"2022",0,0,0,89,82,84,81,82,82,36
56,"2022",0,0,0,80,87,87,82,83,86,35
57,"2022",0,0,0,85,85,84,80,88,83,34
58,"2022",82,80,86,0,0,0,0,0,0,33
59,"2022",84,85,80,0,0,0,0,0,0,32
60,"2022",86,80,90,0,0,0,0,0,0,31
61,"2022",0,0,0,78,79,73,76,72,75,90
62,"2022",0,0,0,77,79,77,71,75,77,89
63,"2022",0,0,0,77,74,78,76,75,78,88
64,"2022",0,0,0,73,76,80,77,78,74,87
65,"2022",0,0,0,79,79,71,77,70,79,86
66,"2022",0,0,0,80,79,75,77,75,71,85
67,"2022",0,0,0,80,76,80,79,72,75,84
68,"2022",0,0,0,78,71,74,75,78,71,83
69,"2022",0,0,0,75,73,80,75,70,71,82
70,"2022",0,0,0,79,72,76,75,73,79,81
71,"2022",0,0,0,75,77,79,80,77,73,80
72,"2022",0,0,0,76,71,79,79,79,78,79
73,"2022",0,0,0,78,70,71,77,74,77,78
