"id","season","positioning","reflexes","diving","standing_tackle","physical","passing","dribbling","long_shot","finishing","player_id"
1,"2022",80,70,59,0,0,0,0,0,0,1
2,"2022",61,64,79,0,0,0,0,0,0,2
3,"2022",98,71,73,0,0,0,0,0,0,3
4,"2022",0,0,0,90,59,87,84,79,81,4
5,"2022",0,0,0,77,95,62,57,48,49,5
6,"2022",0,0,0,85,70,87,42,46,51,6
7,"2022",0,0,0,81,61,70,55,58,64,7
8,"2022",0,0,0,79,93,76,85,53,44,8
9,"2022",0,0,0,56,69,92,83,67,71,9
10,"2022",0,0,0,68,67,65,53,40,55,10
11,"2022",0,0,0,62,62,71,82,80,51,11
12,"2022",0,0,0,93,72,84,69,75,36,12
13,"2022",0,0,0,73,76,68,94,71,91,13
14,"2022",0,0,0,52,55,43,75,89,87,14
15,"2022",0,0,0,67,44,64,64,98,88,15
16,"2022",0,0,0,45,37,74,95,73,56,16
17,"2022",0,0,0,89,55,94,78,37,57,17
18,"2022",0,0,0,42,72,49,75,83,74,18
19,"2022",0,0,0,94,94,81,53,44,69,19
20,"2022",0,0,0,58,74,73,60,64,57,20
21,"2022",0,0,0,69,47,48,91,55,82,21
22,"2022",0,0,0,51,75,46,55,69,55,22
23,"2022",0,0,0,82,78,73,81,91,94,23
24,"2022",0,0,0,80,58,52,59,70,90,24
25,"2022",0,0,0,72,41,65,57,78,96,25
26,"2022",0,0,0,77,61,83,59,64,70,26
27,"2022",0,0,0,71,47,40,67,94,84,27
28,"2022",0,0,0,38,61,60,92,91,78,28
29,"2022",0,0,0,36,67,82,88,83,58,29
30,"2022",0,0,0,51,68,80,65,87,71,30
31,"2022",71,85,55,0,0,0,0,0,0,31
32,"2022",80,81,77,0,0,0,0,0,0,32
33,"2022",98,90,82,0,0,0,0,0,0,33
34,"2022",0,0,0,61,85,94,75,38,73,34
35,"2022",0,0,0,84,86,87,70,68,52,35
36,"2022",0,0,0,85,83,98,50,71,56,36
37,"2022",0,0,0,74,92,71,70,73,47,37
38,"2022",0,0,0,86,68,79,59,39,38,38
39,"2022",0,0,0,65,64,87,68,57,50,39
40,"2022",0,0,0,57,67,87,63,50,57,40
41,"2022",0,0,0,65,69,87,61,83,68,41
42,"2022",0,0,0,99,60,94,37,84,81,42
43,"2022",0,0,0,44,73,66,85,71,91,43
44,"2022",0,0,0,70,85,65,96,68,69,44
45,"2022",0,0,0,44,56,75,87,63,92,45
46,"2022",0,0,0,85,73,84,67,96,87,46
47,"2022",0,0,0,66,47,39,84,83,86,47
48,"2022",0,0,0,85,42,48,89,88,66,48
49,"2022",0,0,0,42,46,67,69,69,92,49
50,"2022",0,0,0,39,46,69,82,87,71,50
51,"2022",0,0,0,76,64,44,63,66,88,51
52,"2022",0,0,0,53,45,43,56,95,79,52
53,"2022",0,0,0,59,84,37,57,95,75,53
54,"2022",0,0,0,73,84,77,89,66,86,54
55,"2022",0,0,0,55,71,62,60,75,98,55
56,"2022",0,0,0,82,83,70,57,79,73,56
57,"2022",0,0,0,45,55,59,83,76,85,57
58,"2022",0,0,0,81,79,42,57,68,72,58
59,"2022",0,0,0,79,63,71,65,56,70,59
60,"2022",0,0,0,49,63,52,59,68,80,60
61,"2022",58,86,98,0,0,0,0,0,0,61
62,"2022",97,95,88,0,0,0,0,0,0,62
63,"2022",92,99,58,0,0,0,0,0,0,63
64,"2022",0,0,0,72,61,92,51,83,49,64
65,"2022",0,0,0,98,58,60,61,76,71,65
66,"2022",0,0,0,99,90,90,45,84,47,66
67,"2022",0,0,0,63,94,66,70,81,68,67
68,"2022",0,0,0,95,87,76,65,35,76,68
69,"2022",0,0,0,81,78,96,80,83,62,69
70,"2022",0,0,0,62,67,61,39,35,58,70
71,"2022",0,0,0,82,69,91,75,73,66,71
72,"2022",0,0,0,65,86,78,48,78,74,72
73,"2022",0,0,0,59,50,67,61,87,87,73
74,"2022",0,0,0,85,75,84,53,49,69,74
75,"2022",0,0,0,75,77,83,55,63,78,75
76,"2022",0,0,0,50,81,43,58,88,96,76
77,"2022",0,0,0,81,79,88,53,47,40,77
78,"2022",0,0,0,98,88,92,75,83,39,78
79,"2022",0,0,0,83,69,85,84,67,73,79
80,"2022",0,0,0,82,47,64,63,96,57,80
81,"2022",0,0,0,58,75,80,73,62,82,81
82,"2022",0,0,0,65,80,84,69,60,64,82
83,"2022",0,0,0,77,56,70,62,40,77,83
84,"2022",0,0,0,78,78,78,99,79,95,84
85,"2022",0,0,0,71,83,83,82,65,88,85
86,"2022",0,0,0,80,43,71,59,84,72,86
87,"2022",0,0,0,61,52,83,74,70,63,87
88,"2022",0,0,0,69,74,73,96,88,83,88
89,"2022",0,0,0,48,58,77,80,77,63,89
90,"2022",0,0,0,41,43,45,88,77,78,90
91,"2022",82,81,76,0,0,0,0,0,0,91
92,"2022",67,64,80,0,0,0,0,0,0,92
93,"2022",95,84,90,0,0,0,0,0,0,93
94,"2022",0,0,0,88,71,94,67,37,58,94
95,"2022",0,0,0,99,89,71,48,39,70,95
96,"2022",0,0,0,56,92,59,42,37,66,96
97,"2022",0,0,0,56,94,64,54,63,65,97
98,"2022",0,0,0,86,60,91,71,51,46,98
99,"2022",0,0,0,88,73,62,61,85,47,99
100,"2022",0,0,0,57,64,95,76,57,47,100
101,"2022",0,0,0,80,60,70,69,69,47,101
102,"2022",0,0,0,66,87,90,77,37,65,102
103,"2022",0,0,0,47,68,49,89,93,95,103
104,"2022",0,0,0,68,82,82,61,63,61,104
105,"2022",0,0,0,80,38,55,63,88,82,105
106,"2022",0,0,0,55,77,75,52,45,82,106
107,"2022",0,0,0,88,99,67,85,60,75,107
108,"2022",0,0,0,64,81,48,98,63,96,108
109,"2022",0,0,0,49,82,82,59,76,73,109
110,"2022",0,0,0,61,65,39,61,55,56,110
111,"2022",0,0,0,73,69,44,62,74,57,111
112,"2022",0,0,0,63,94,84,58,68,40,112
113,"2022",0,0,0,64,59,58,59,83,77,113
114,"2022",0,0,0,49,53,60,80,76,59,114
115,"2022",0,0,0,70,73,35,89,93,56,115
116,"2022",0,0,0,35,56,42,82,55,92,116
117,"2022",0,0,0,38,60,83,90,81,60,117
118,"2022",0,0,0,71,52,72,67,99,97,118
119,"2022",0,0,0,84,73,56,87,85,66,119
120,"2022",0,0,0,52,51,83,64,87,96,120
121,"2022",65,94,75,0,0,0,0,0,0,121
122,"2022",99,69,74,0,0,0,0,0,0,122
123,"2022",67,84,92,0,0,0,0,0,0,123
124,"2022",0,0,0,72,96,90,44,40,35,124
125,"2022",0,0,0,78,94,71,37,47,65,125
126,"2022",0,0,0,97,85,89,39,69,80,126
127,"2022",0,0,0,87,70,68,55,69,75,127
128,"2022",0,0,0,84,96,85,66,56,55,128
129,"2022",0,0,0,77,66,83,52,63,81,129
130,"2022",0,0,0,73,66,60,75,85,36,130
131,"2022",0,0,0,93,64,71,67,67,44,131
132,"2022",0,0,0,91,90,70,50,76,64,132
133,"2022",0,0,0,77,48,64,60,70,78,133
134,"2022",0,0,0,81,75,71,60,65,62,134
135,"2022",0,0,0,36,79,39,95,67,63,135
136,"2022",0,0,0,84,85,76,97,85,74,136
137,"2022",0,0,0,43,44,77,97,65,67,137
138,"2022",0,0,0,44,79,44,76,87,88,138
139,"2022",0,0,0,80,54,63,65,71,55,139
140,"2022",0,0,0,58,81,40,98,89,64,140
141,"2022",0,0,0,83,58,37,73,97,73,141
142,"2022",0,0,0,61,47,62,78,71,92,142
143,"2022",0,0,0,47,37,83,78,58,63,143
144,"2022",0,0,0,56,78,42,55,77,83,144
145,"2022",0,0,0,62,81,36,64,85,93,145
146,"2022",0,0,0,84,62,56,81,71,99,146
147,"2022",0,0,0,76,52,53,65,69,84,147
148,"2022",0,0,0,65,64,63,91,68,97,148
149,"2022",0,0,0,76,61,56,96,99,91,149
150,"2022",0,0,0,55,76,64,98,88,98,150
151,"2022",88,66,55,0,0,0,0,0,0,151
152,"2022",74,88,97,0,0,0,0,0,0,152
153,"2022",83,82,69,0,0,0,0,0,0,153
154,"2022",0,0,0,59,62,67,37,56,78,154
155,"2022",0,0,0,87,77,61,56,52,37,155
156,"2022",0,0,0,70,92,70,38,70,75,156
157,"2022",0,0,0,78,97,88,85,39,38,157
158,"2022",0,0,0,77,84,86,39,78,69,158
159,"2022",0,0,0,91,71,91,35,64,81,159
160,"2022",0,0,0,58,59,83,67,74,82,160
161,"2022",0,0,0,76,79,96,51,74,75,161
162,"2022",0,0,0,59,92,77,50,37,57,162
163,"2022",0,0,0,54,76,54,94,99,86,163
164,"2022",0,0,0,37,50,41,66,74,67,164
165,"2022",0,0,0,73,93,57,40,58,38,165
166,"2022",0,0,0,72,83,55,78,71,62,166
167,"2022",0,0,0,70,42,59,90,78,69,167
168,"2022",0,0,0,70,49,50,76,58,75,168
169,"2022",0,0,0,80,42,48,64,74,68,169
170,"2022",0,0,0,51,58,56,82,58,88,170
171,"2022",0,0,0,74,63,84,68,85,49,171
172,"2022",0,0,0,74,69,36,97,67,96,172
173,"2022",0,0,0,39,46,50,77,68,85,173
174,"2022",0,0,0,85,68,70,58,62,60,174
175,"2022",0,0,0,48,53,78,97,96,68,175
176,"2022",0,0,0,62,83,35,64,64,82,176
177,"2022",0,0,0,84,49,61,93,76,77,177
178,"2022",0,0,0,53,81,64,59,55,90,178
179,"2022",0,0,0,53,82,56,82,87,76,179
180,"2022",0,0,0,58,72,81,66,82,85,180
181,"2022",89,77,96,0,0,0,0,0,0,181
182,"2022",84,84,88,0,0,0,0,0,0,182
183,"2022",69,82,97,0,0,0,0,0,0,183
184,"2022",0,0,0,96,83,97,52,55,39,184
185,"2022",0,0,0,78,77,71,82,67,65,185
186,"2022",0,0,0,65,61,95,46,67,61,186
187,"2022",0,0,0,80,87,99,67,49,60,187
188,"2022",0,0,0,70,80,96,36,41,45,188
189,"2022",0,0,0,92,89,55,69,73,77,189
190,"2022",0,0,0,65,93,61,38,75,63,190
191,"2022",0,0,0,56,93,89,72,37,43,191
192,"2022",0,0,0,83,68,55,70,45,52,192
193,"2022",0,0,0,59,78,51,68,57,61,193
194,"2022",0,0,0,70,75,72,61,61,74,194
195,"2022",0,0,0,67,61,81,93,94,73,195
196,"2022",0,0,0,61,67,93,82,78,69,196
197,"2022",0,0,0,69,65,56,59,63,88,197
198,"2022",0,0,0,64,84,47,88,64,89,198
199,"2022",0,0,0,36,63,82,88,74,78,199
200,"2022",0,0,0,84,84,78,63,63,78,200
201,"2022",0,0,0,35,51,35,82,86,61,201
202,"2022",0,0,0,85,35,53,94,88,60,202
203,"2022",0,0,0,69,64,78,66,69,62,203
204,"2022",0,0,0,81,47,84,94,55,90,204
205,"2022",0,0,0,35,38,68,77,55,98,205
206,"2022",0,0,0,60,80,52,64,65,92,206
207,"2022",0,0,0,81,45,69,78,93,99,207
208,"2022",0,0,0,36,56,54,82,68,63,208
209,"2022",0,0,0,63,39,46,59,96,97,209
210,"2022",0,0,0,69,51,39,87,80,84,210
211,"2022",77,93,78,0,0,0,0,0,0,211
212,"2022",67,56,97,0,0,0,0,0,0,212
213,"2022",62,80,85,0,0,0,0,0,0,213
214,"2022",0,0,0,80,72,96,55,50,62,214
215,"2022",0,0,0,92,56,78,44,79,43,215
216,"2022",0,0,0,92,61,58,72,78,79,216
217,"2022",0,0,0,81,71,93,48,45,70,217
218,"2022",0,0,0,77,99,73,54,36,60,218
219,"2022",0,0,0,86,56,81,42,60,39,219
220,"2022",0,0,0,67,59,80,63,51,77,220
221,"2022",0,0,0,99,86,87,53,48,70,221
222,"2022",0,0,0,74,70,79,38,54,38,222
223,"2022",0,0,0,56,65,46,59,80,59,223
224,"2022",0,0,0,40,79,65,64,63,64,224
225,"2022",0,0,0,56,67,43,93,90,83,225
226,"2022",0,0,0,73,54,41,55,75,65,226
227,"2022",0,0,0,73,72,35,86,77,63,227
228,"2022",0,0,0,61,64,90,61,45,45,228
229,"2022",0,0,0,55,44,36,66,56,99,229
230,"2022",0,0,0,56,69,62,92,58,67,230
231,"2022",0,0,0,62,45,60,71,93,83,231
232,"2022",0,0,0,80,47,59,77,98,71,232
233,"2022",0,0,0,55,46,66,57,78,66,233
234,"2022",0,0,0,48,56,49,63,79,96,234
235,"2022",0,0,0,52,84,38,82,59,78,235
236,"2022",0,0,0,37,50,78,75,99,88,236
237,"2022",0,0,0,83,59,84,67,76,95,237
238,"2022",0,0,0,56,70,55,59,83,62,238
239,"2022",0,0,0,52,75,68,99,94,73,239
240,"2022",0,0,0,49,80,61,70,92,81,240
241,"2022",86,73,90,0,0,0,0,0,0,241
242,"2022",64,78,77,0,0,0,0,0,0,242
243,"2022",57,93,78,0,0,0,0,0,0,243
244,"2022",0,0,0,70,68,72,65,56,78,244
245,"2022",0,0,0,60,70,89,52,56,73,245
246,"2022",0,0,0,66,66,73,58,35,68,246
247,"2022",0,0,0,55,70,57,51,81,83,247
248,"2022",0,0,0,86,77,63,82,64,84,248
249,"2022",0,0,0,60,88,82,66,62,40,249
250,"2022",0,0,0,76,81,86,41,40,73,250
251,"2022",0,0,0,72,87,94,76,42,42,251
252,"2022",0,0,0,76,67,98,47,74,63,252
253,"2022",0,0,0,36,64,67,92,76,98,253
254,"2022",0,0,0,69,39,78,76,82,71,254
255,"2022",0,0,0,69,69,79,81,93,73,255
256,"2022",0,0,0,37,66,83,76,86,89,256
257,"2022",0,0,0,54,61,53,63,99,71,257
258,"2022",0,0,0,79,47,62,58,67,59,258
259,"2022",0,0,0,64,60,82,65,80,77,259
260,"2022",0,0,0,73,41,37,57,63,89,260
261,"2022",0,0,0,44,60,63,79,83,72,261
262,"2022",0,0,0,47,51,37,82,58,75,262
263,"2022",0,0,0,44,54,81,96,60,90,263
264,"2022",0,0,0,55,77,73,92,76,88,264
265,"2022",0,0,0,62,49,37,65,94,58,265
266,"2022",0,0,0,64,61,71,88,67,73,266
267,"2022",0,0,0,72,71,62,64,58,80,267
268,"2022",0,0,0,49,60,62,94,80,68,268
269,"2022",0,0,0,65,40,70,92,73,90,269
270,"2022",0,0,0,43,36,65,94,62,97,270
271,"2022",67,91,96,0,0,0,0,0,0,271
272,"2022",62,59,97,0,0,0,0,0,0,272
273,"2022",79,75,76,0,0,0,0,0,0,273
274,"2022",0,0,0,85,99,59,78,68,69,274
275,"2022",0,0,0,72,99,60,64,55,77,275
276,"2022",0,0,0,96,79,78,39,76,79,276
277,"2022",0,0,0,64,90,96,74,36,77,277
278,"2022",0,0,0,62,65,73,84,61,74,278
279,"2022",0,0,0,79,55,56,50,67,47,279
280,"2022",0,0,0,55,68,57,51,38,39,280
281,"2022",0,0,0,63,99,85,72,77,77,281
282,"2022",0,0,0,65,93,63,53,38,71,282
283,"2022",0,0,0,56,77,89,78,37,62,283
284,"2022",0,0,0,57,68,69,57,93,68,284
285,"2022",0,0,0,62,56,41,72,61,69,285
286,"2022",0,0,0,93,74,69,80,84,65,286
287,"2022",0,0,0,41,72,53,61,59,87,287
288,"2022",0,0,0,83,65,58,84,75,71,288
289,"2022",0,0,0,85,44,75,98,98,74,289
290,"2022",0,0,0,65,57,72,59,57,75,290
291,"2022",0,0,0,54,78,47,78,62,60,291
292,"2022",0,0,0,69,38,63,59,93,61,292
293,"2022",0,0,0,77,77,42,88,92,71,293
294,"2022",0,0,0,50,56,59,85,86,78,294
295,"2022",0,0,0,49,54,62,79,98,66,295
296,"2022",0,0,0,83,39,57,91,87,86,296
297,"2022",0,0,0,65,78,59,96,80,77,297
298,"2022",0,0,0,71,77,35,97,83,62,298
299,"2022",0,0,0,80,75,56,73,97,91,299
300,"2022",0,0,0,53,53,83,62,99,70,300
301,"2022",57,79,88,0,0,0,0,0,0,301
302,"2022",70,96,87,0,0,0,0,0,0,302
303,"2022",99,66,73,0,0,0,0,0,0,303
304,"2022",0,0,0,55,64,80,50,68,61,304
305,"2022",0,0,0,92,79,73,69,49,64,305
306,"2022",0,0,0,91,63,90,35,43,82,306
307,"2022",0,0,0,68,80,90,44,41,58,307
308,"2022",0,0,0,87,63,61,47,54,85,308
309,"2022",0,0,0,98,94,72,71,42,79,309
310,"2022",0,0,0,91,74,82,62,62,85,310
311,"2022",0,0,0,90,65,78,39,84,74,311
312,"2022",0,0,0,69,79,78,70,36,39,312
313,"2022",0,0,0,69,84,86,58,70,42,313
314,"2022",0,0,0,60,79,36,83,76,59,314
315,"2022",0,0,0,49,42,71,86,66,80,315
316,"2022",0,0,0,63,82,99,39,71,38,316
317,"2022",0,0,0,81,37,42,86,71,86,317
318,"2022",0,0,0,66,56,61,92,85,82,318
319,"2022",0,0,0,84,53,59,85,82,71,319
320,"2022",0,0,0,72,57,86,80,67,65,320
321,"2022",0,0,0,85,67,85,82,85,62,321
322,"2022",0,0,0,48,37,50,70,91,72,322
323,"2022",0,0,0,85,80,91,81,70,63,323
324,"2022",0,0,0,37,40,66,55,79,61,324
325,"2022",0,0,0,81,36,55,92,98,78,325
326,"2022",0,0,0,84,51,74,70,94,82,326
327,"2022",0,0,0,41,49,37,88,57,73,327
328,"2022",0,0,0,35,76,42,60,72,84,328
329,"2022",0,0,0,83,76,77,96,71,94,329
330,"2022",0,0,0,50,58,50,95,85,99,330
331,"2022",67,74,87,0,0,0,0,0,0,331
332,"2022",67,68,66,0,0,0,0,0,0,332
333,"2022",99,78,94,0,0,0,0,0,0,333
334,"2022",0,0,0,71,63,78,63,51,49,334
335,"2022",0,0,0,91,95,78,77,59,72,335
336,"2022",0,0,0,67,95,65,36,58,83,336
337,"2022",0,0,0,89,57,59,56,36,69,337
338,"2022",0,0,0,87,80,55,36,69,82,338
339,"2022",0,0,0,99,90,57,63,46,54,339
340,"2022",0,0,0,95,80,88,39,48,81,340
341,"2022",0,0,0,64,91,99,82,76,41,341
342,"2022",0,0,0,73,76,78,46,71,72,342
343,"2022",0,0,0,80,69,76,98,96,99,343
344,"2022",0,0,0,62,57,72,56,96,86,344
345,"2022",0,0,0,35,79,51,89,64,85,345
346,"2022",0,0,0,51,64,66,71,92,71,346
347,"2022",0,0,0,78,78,77,41,43,51,347
348,"2022",0,0,0,54,56,66,94,70,58,348
349,"2022",0,0,0,53,58,72,79,68,60,349
350,"2022",0,0,0,61,58,41,99,94,87,350
351,"2022",0,0,0,62,59,51,62,74,95,351
352,"2022",0,0,0,81,46,47,76,64,97,352
353,"2022",0,0,0,74,53,56,82,65,98,353
354,"2022",0,0,0,42,63,69,84,75,86,354
355,"2022",0,0,0,78,70,45,84,74,74,355
356,"2022",0,0,0,66,58,56,88,71,77,356
357,"2022",0,0,0,41,51,56,55,86,67,357
358,"2022",0,0,0,41,69,68,80,90,96,358
359,"2022",0,0,0,84,41,61,98,71,61,359
360,"2022",0,0,0,79,49,69,96,72,99,360
361,"2022",71,80,76,0,0,0,0,0,0,361
362,"2022",93,71,58,0,0,0,0,0,0,362
363,"2022",82,58,79,0,0,0,0,0,0,363
364,"2022",0,0,0,88,77,56,43,45,37,364
365,"2022",0,0,0,87,92,65,39,45,40,365
366,"2022",0,0,0,81,57,64,51,72,65,366
367,"2022",0,0,0,61,66,87,73,77,55,367
368,"2022",0,0,0,63,62,91,37,49,75,368
369,"2022",0,0,0,97,60,72,77,79,46,369
370,"2022",0,0,0,73,90,59,54,68,42,370
371,"2022",0,0,0,96,67,90,71,41,61,371
372,"2022",0,0,0,57,86,60,52,77,72,372
373,"2022",0,0,0,62,38,70,65,99,73,373
374,"2022",0,0,0,73,83,81,99,71,62,374
375,"2022",0,0,0,41,35,49,76,95,99,375
376,"2022",0,0,0,84,84,75,80,87,69,376
377,"2022",0,0,0,80,67,51,87,66,99,377
378,"2022",0,0,0,38,56,42,60,66,88,378
379,"2022",0,0,0,56,63,84,92,77,63,379
380,"2022",0,0,0,65,70,63,58,82,93,380
381,"2022",0,0,0,93,69,95,59,67,58,381
382,"2022",0,0,0,93,80,67,71,42,39,382
383,"2022",0,0,0,78,43,70,73,64,78,383
384,"2022",0,0,0,43,39,42,93,85,73,384
385,"2022",0,0,0,66,61,69,94,77,92,385
386,"2022",0,0,0,59,41,53,64,93,85,386
387,"2022",0,0,0,52,35,53,85,58,80,387
388,"2022",0,0,0,84,78,72,57,60,93,388
389,"2022",0,0,0,75,69,38,73,62,67,389
390,"2022",0,0,0,85,41,54,99,86,74,390
391,"2022",73,84,82,0,0,0,0,0,0,391
392,"2022",90,99,77,0,0,0,0,0,0,392
393,"2022",68,82,70,0,0,0,0,0,0,393
394,"2022",0,0,0,67,81,59,58,65,58,394
395,"2022",0,0,0,97,84,76,52,39,57,395
396,"2022",0,0,0,97,98,93,54,50,63,396
397,"2022",0,0,0,83,73,92,71,42,66,397
398,"2022",0,0,0,66,57,56,71,48,37,398
399,"2022",0,0,0,60,74,83,36,78,81,399
