name,country
Boca Juniors,Argentina
River Plate,Argentina
Club Atlético Tucumán,Argentina
Club de Gimnasia y Esgrima La Plate,Argentina
Racing Club,Argentina
Independiente,Argentina
San Lorenzo,Argentina
Talleres,Argentina
Huracán,Argentina
Vélez Sarsfield,Argentina
Estudiantes de La Plata,Argentina
Rosario Central,Argentina
Lanús,Argentina
Argentinos Juniors,Argentina
Newells Old Boys,Argentina
Banfield,Argentina
Defensa y Justicia,Argentina
Córdoba,Argentina
Godoy Cruz,Argentina
Colón,Argentina
