"season","competition","confront","home_club","home_goals","home_shots","home_shots_on_target","home_fouls","home_passes","home_wrong_passes","home_interceptions","home_tackles","home_stolen_balls","home_saves","home_ball_possession","home_offsides","home_freekicks","home_penalties","away_club","away_goals","away_shots","away_shots_on_target","away_fouls","away_passes","away_wrong_passes","away_interceptions","away_tackles","away_stolen_balls","away_saves","away_ball_possession","away_offsides","away_freekicks","away_penalties"
"2022",Campeonato Brasileiro,América Mineiro x Atlético Mineiro,América Mineiro,2,5,15,10,73,17,28,14,14,7,0,0,0,0,Atlético Mineiro,1,7,8,18,72,13,22,11,15,13,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Athletico Paranaense,América Mineiro,1,8,9,15,82,19,28,16,13,7,0,0,0,0,Athletico Paranaense,0,6,7,12,82,22,27,16,14,8,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Ceará,América Mineiro,0,5,18,17,75,25,24,11,13,8,0,0,0,0,Ceará,0,6,8,17,90,26,16,18,7,18,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Fortaleza,América Mineiro,0,5,15,10,75,16,19,13,16,12,0,0,0,0,Fortaleza,0,4,12,8,69,17,22,10,14,15,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Flamengo,América Mineiro,0,4,4,15,79,21,13,11,21,15,0,0,0,0,Flamengo,0,5,15,7,67,16,22,11,19,4,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Fluminense,América Mineiro,1,7,8,15,79,20,19,16,13,9,0,0,0,0,Fluminense,3,4,12,10,76,24,26,10,17,7,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Cuiabá,América Mineiro,1,10,12,14,73,23,18,11,19,10,0,0,0,0,Cuiabá,0,6,10,8,77,20,21,12,8,11,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Grêmio,América Mineiro,2,6,13,15,70,16,15,14,13,16,0,0,0,0,Grêmio,0,3,16,7,64,17,22,10,12,11,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x International,América Mineiro,1,5,11,18,89,17,29,15,13,3,0,0,0,0,International,2,5,5,9,88,25,27,16,17,10,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Chapecoense,América Mineiro,0,4,6,8,85,27,25,19,12,7,0,0,0,0,Chapecoense,2,5,9,4,83,22,22,14,20,6,0,0,0,0
